Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Train Time (s),Inf Time (s)
PINN,Base,0,4.070213437,2.235454507,0.561695814,72.85877041,13.75921349,0.723215189,3.151969075,0.098645997
PINN,Base,1,3.804775327,2.176774293,0.616999567,100.615291,19.31652759,0.340000858,2.775343943,0.076535225
PINN,Base,2,3.600053489,1.928518899,0.657106519,79.83550717,19.49406014,0.533217386,3.479555583,0.11332674
PINN,Base,3,3.265759721,2.032116987,0.717830777,79.20163575,18.20744641,0.617346375,2.950565481,0.086330557
PINN,Base,4,3.233838826,1.788598858,0.723319888,67.80929529,12.14854655,0.690428089,2.150358343,0.06918931
PINN,Base,5,2.942524292,1.755370758,0.770923078,64.39509446,12.68752075,0.67712185,3.802671075,0.110193086
PINN,Base,6,3.412164003,1.901581325,0.691964388,59.90106882,10.68572246,0.76043954,2.47659452,0.085980439
PINN,Base,7,3.991302848,2.110193111,0.578526199,57.65821539,10.86214265,0.747691754,2.786316609,0.075494647
PINN,Base,8,3.228153288,1.850411296,0.724291921,107.2297423,23.70235287,0.31592395,3.180036783,0.091960716
PINN,Base,9,4.024901986,1.956516691,0.571400285,77.38287441,17.65146301,0.570113206,2.701900268,0.081005216
PINN,Phys,0,1.924697869,1.058965269,0.896712363,64.99485581,12.32059188,0.728018886,4.420317459,0.130007887
PINN,Phys,1,3.61793749,1.759225875,0.699940562,90.32190764,16.97632884,0.57886121,3.244804549,0.096578765
PINN,Phys,2,2.893917821,1.446272619,0.784451425,53.26589145,9.320542476,0.797845891,4.475536323,0.129357839
PINN,Phys,3,2.033240721,1.146937162,0.88378036,57.59574009,10.13513725,0.742487076,2.416938996,0.05794642
PINN,Phys,4,2.202578261,1.203751005,0.880949974,60.15615266,10.93700981,0.804318567,5.148529458,0.162541938
PINN,Phys,5,2.28515286,1.241555531,0.86383009,72.56062057,13.43779845,0.632901777,5.614508533,0.161436009
PINN,Phys,6,1.940284483,1.099279337,0.89575243,48.04734656,8.586385853,0.855259463,2.970634007,0.076619244
PINN,Phys,7,1.839428395,1.160344202,0.911558688,56.95246018,19.71795288,0.816425898,3.770185852,0.117406487
PINN,Phys,8,1.714453287,1.107084472,0.929414213,53.18274677,11.31428364,0.844251671,4.618607521,0.139316988
PINN,Phys,9,2.392834984,1.310894452,0.848885059,55.7905957,13.23104939,0.79115889,4.735889649,0.132226205
