Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Train Time (s),Inf Time (s)
PINN,Base,0,3.418521211,1.781406254,0.690815449,56.10039122,10.78622455,0.811696166,4.00054791,0.100204349
PINN,Base,1,3.537572175,1.931433193,0.668905616,93.82026581,18.09870737,0.337960656,3.358862042,0.088305902
PINN,Base,2,3.606770188,1.952727884,0.655825913,79.5853821,19.47302314,0.531638331,3.768048835,0.109803724
PINN,Base,3,2.858724073,1.831714436,0.783785045,71.36699258,16.86651024,0.712194242,3.528735232,0.099722838
PINN,Base,4,3.174091503,1.77545622,0.733449101,64.66516809,11.56567854,0.718798458,2.283197713,0.083566284
PINN,Base,5,3.367288038,2.00821925,0.700013518,74.43779654,14.13460237,0.575446515,3.338908052,0.110690069
PINN,Base,6,3.331511095,1.795741729,0.70635426,58.90131564,10.41536288,0.749371284,3.038287902,0.090992427
PINN,Base,7,3.989350796,2.092435397,0.578938365,60.9716254,11.377505,0.738274246,2.625895262,0.06601162
PINN,Base,8,3.20118852,1.81656722,0.728878617,102.6016816,22.88904579,0.324616237,8.510209131,0.213765216
PINN,Base,9,4.030999541,1.982730813,0.570100784,78.90185976,17.8829005,0.554702884,3.504641175,0.110251307
PINN,Phys,0,1.945716329,1.245584153,0.904977202,63.53639183,12.411836,0.770562094,6.164962101,0.19644351
PINN,Phys,1,2.725515328,1.462462638,0.821522713,78.2337671,14.54097208,0.673360966,3.208469367,0.098556519
PINN,Phys,2,2.974966913,1.389995497,0.77220875,60.07708861,14.03767581,0.790690504,3.485163856,0.100323176
PINN,Phys,3,1.227061078,0.839591399,0.95431459,69.89072951,13.45218385,0.51843608,4.018864655,0.130023313
PINN,Phys,4,2.64786873,1.428015064,0.818746686,55.22506536,9.33393923,0.832600303,6.824334598,0.22103579
PINN,Phys,5,2.732540295,1.313342247,0.805291951,59.76281273,11.13634752,0.732478726,6.002625704,0.182291436
PINN,Phys,6,2.178763598,1.172590721,0.872022808,59.56444643,10.45102914,0.751322581,1.579058003,0.059600997
PINN,Phys,7,1.84746664,1.19913891,0.910784006,50.04958774,9.711377234,0.838021086,4.501270533,0.106803012
PINN,Phys,8,1.780614629,1.12205511,0.923861206,56.31855825,10.87848528,0.838541293,2.209525394,0.066526699
PINN,Phys,9,3.097289056,1.521601155,0.746810675,61.45666584,10.97057331,0.703066493,4.137979054,0.121123314
