Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Train Time (s),Inf Time (s)
PINN,Base,0,3.426709399,1.798862033,0.689332485,55.10063804,10.61889156,0.829145883,4.118226767,0.103090715
PINN,Base,1,3.563785926,1.982707903,0.663980484,92.58795149,17.89849925,0.377570726,3.087435365,0.099042153
PINN,Base,2,3.628255054,1.974967681,0.651713371,81.71144514,19.75917673,0.524068404,3.458244944,0.107363534
PINN,Base,3,2.899874374,1.837078109,0.77751559,78.74568192,18.07615649,0.60632875,3.623474479,0.110509157
PINN,Base,4,3.317137808,1.833673194,0.70888257,66.68373251,11.93378963,0.696417137,1.970661759,0.059632826
PINN,Base,5,3.030099347,1.855564304,0.757084668,71.99907718,13.77972954,0.619410629,5.078554535,0.147291136
PINN,Base,6,3.795416653,2.096376754,0.618881404,69.23579132,12.01532476,0.669681954,4.784178662,0.151183796
PINN,Base,7,4.230030254,2.254289947,0.526600063,67.76996942,12.41537881,0.66359178,4.477458167,0.115992427
PINN,Base,8,3.242433816,1.886373945,0.721847177,103.3528038,23.0206835,0.33233914,7.442690229,0.221460509
PINN,Base,9,4.04836908,2.010661922,0.566387832,76.2755466,17.41407123,0.571897884,6.119348621,0.174203467
PINN,Phys,0,1.755600795,1.057278737,0.91406405,67.43947451,12.68195549,0.729771349,4.81699667,0.153399849
PINN,Phys,1,3.556255624,1.713578403,0.710084796,88.67335609,17.09920174,0.597835985,3.083934522,0.099696183
PINN,Phys,2,2.28461884,1.127940509,0.851083755,49.67265971,8.691370087,0.778492573,4.782211757,0.128834605
PINN,Phys,3,1.581903733,0.993460417,0.929650307,56.46157455,10.32406036,0.786876515,2.999244046,0.091227603
PINN,Phys,4,2.233685181,1.319239754,0.880124688,61.33667878,14.43712093,0.82076952,3.07917819,0.100784659
PINN,Phys,5,2.72573512,1.332290843,0.806260586,62.08564652,11.12112249,0.672068437,4.242704678,0.132798982
PINN,Phys,6,1.921238005,1.073476765,0.892101943,47.60966861,8.512523026,0.862202103,3.103432488,0.109308076
PINN,Phys,7,1.901118085,1.176536269,0.905526996,51.51721738,13.46119035,0.844902699,4.433675694,0.107979035
PINN,Phys,8,1.918694191,1.202803385,0.911594868,47.3986047,9.537667409,0.863200835,4.859046769,0.139254475
PINN,Phys,9,2.518619783,1.458803192,0.84427917,59.37469228,13.83492786,0.781715915,7.865504289,0.177827358
