Model,Mode,Seed,Traj_RMSE (%),Traj_MAE (%),Traj_R2,EOL_MAE (Cycles),EOL_MAPE (%),EOL_R2,Train Time (s),Inf Time (s)
PINN,Base,0,3.989036381,2.157387696,0.579004705,66.35551878,12.42163742,0.750344807,3.229623985,0.090618873
PINN,Base,1,3.79296653,2.159033343,0.619373322,97.46464314,18.6668635,0.348610445,2.620133877,0.0730335
PINN,Base,2,3.607885912,1.937597618,0.655612946,78.20969426,19.16033621,0.536606961,3.444283533,0.104139829
PINN,Base,3,3.250175714,2.006610669,0.720517278,77.93277547,17.94807616,0.620964482,2.880911255,0.080868053
PINN,Base,4,3.241031989,1.790700667,0.722087622,66.55866998,11.89053002,0.694627,1.991085625,0.067172742
PINN,Base,5,2.910281345,1.719991304,0.775915802,61.99482175,12.19169654,0.680390019,3.637522364,0.103678489
PINN,Base,6,3.360671178,1.861401089,0.701191306,58.58791224,10.41844912,0.762758878,2.668119025,0.088245916
PINN,Base,7,4.005181044,2.122736163,0.575590074,57.84580918,10.90050689,0.747070093,2.703828216,0.067192483
PINN,Base,8,3.235745803,1.860384829,0.722993493,106.229242,23.49744575,0.317268723,3.475048828,0.10362041
PINN,Base,9,4.032403976,1.981929876,0.569801152,75.83782774,17.33332743,0.572901933,2.642310405,0.073164129
PINN,Phys,0,2.346084081,1.318021026,0.858499944,70.14168757,13.31662282,0.711522326,3.060978341,0.101701689
PINN,Phys,1,3.129222989,1.582732983,0.771081924,80.20424921,16.07740324,0.569646638,3.346319771,0.094861865
PINN,Phys,2,2.097299695,1.228007022,0.886787653,64.34061206,15.21109847,0.76353836,5.612131906,0.153271341
PINN,Phys,3,2.069094591,1.272840798,0.8829512,62.51333714,11.47782585,0.773598973,3.581206799,0.103881741
PINN,Phys,4,2.374539897,1.276808325,0.854235411,52.10515659,9.095922173,0.853318642,4.449273777,0.130228949
PINN,Phys,5,2.54043974,1.230654866,0.831706047,55.56444016,10.10835712,0.767286982,6.205105257,0.154210925
PINN,Phys,6,1.601493172,0.873689726,0.928934574,51.74015714,9.061495371,0.833393461,2.367808127,0.068846154
PINN,Phys,7,1.588268764,1.039863005,0.928028166,50.80052458,12.51927532,0.844819361,4.067535782,0.110776591
PINN,Phys,8,1.726297662,1.026030816,0.924918413,50.01953563,9.041324338,0.87853892,2.412885261,0.092363095
PINN,Phys,9,2.861339599,1.400993485,0.78391695,56.48416393,10.2544564,0.759417382,3.789287496,0.094203591
